Process	Genes
protein import into nucleus	ADAR AGT C11ORF73 CBLB CFL1 CRY2 DAG1 DRD1 EGF F2R FGF9 FYB HES1 HTT ING1 IPO11 IPO13 IPO5 IPO7 IPO9 JAK2 JAK3 JUN KPNA1 KPNA2 KPNA3 KPNA4 KPNA5 KPNA6 KPNA7 KPNB1 LMNA MAPK1 MCM3AP NCKIPSD NOP58 NUP155 NUP214 PDIA3 PHIP PIK3R1 PML POU2F2 PPP1R10 PPP3CA PPP3R1 PRICKLE1 PRL PTTG1IP RAN RANBP17 RANBP2 RERE RPAIN RPL23 SIX2 SNUPN SPRN STAT3 TCF7L2 TGFB1 TGFB2 TGFB3 TMCO6 TNPO3 TOB1 TPR TRPS1 TSC2 TXNIP ZFYVE9
NLS-bearing protein import into nucleus	CBLB DAG1 FYB IPO5 KPNA1 KPNA2 KPNA3 KPNA4 KPNA5 KPNA6 KPNB1 NCKIPSD RERE TRPS1
protein export from nucleus	ADAR AHCYL1 CALR CCHCR1 CHP1 CSE1L DUSP16 EGR2 EIF5A GSK3B HSPA9 NUP214 NUPL2 NUTF2 NXT1 PKD1 RAN SMURF1 STRADA STRADB STYX TGFB1 TPR XPO1 XPO5 XPO6 XPO7
protein targeting to membrane	ADORA1 ANK1 ANK2 ANK3 ANXA2 ARL6 ARL6IP1 ATG3 ATG4C BSG CACNB1 CHM CHMP4A CHMP4B D6RBG4 DDOST EHD3 FAU GAS6 ICMT INPP5K MGEA5 MICALL1 MYADM MYL12A MYO1C NCF1 NKD2 PACS1 PACS2 PALM PARD3 PEX16 PEX19 PEX26 PEX3 PEX5 PIP5K1A PRKCI PTCH1 RAB3IP RAB8B RABGEF1 RPL10 RPL10A RPL11 RPL12 RPL13 RPL13A RPL14 RPL15 RPL17 RPL18 RPL18A RPL19 RPL21 RPL22 RPL23 RPL23A RPL24 RPL26 RPL26L1 RPL27 RPL27A RPL28 RPL29 RPL3 RPL30 RPL31 RPL32 RPL34 RPL35 RPL35A RPL36 RPL36A RPL37 RPL37A RPL38 RPL39 RPL3L RPL4 RPL41 RPL5 RPL6 RPL7 RPL7A RPL8 RPL9 RPLP0 RPLP1 RPLP2 RPN1 RPN2 RPS10 RPS11 RPS12 RPS13 RPS14 RPS15 RPS15A RPS16 RPS17 RPS18 RPS19 RPS2 RPS20 RPS21 RPS23 RPS24 RPS25 RPS26 RPS27 RPS27A RPS28 RPS29 RPS3 RPS3A RPS4X RPS4Y1 RPS5 RPS6 RPS7 RPS8 RPS9 RPSA RTP3 RTP4 SDCBP SEC11A SEC11C SEC61A1 SEC61B SEC61G SEC62 SEC63 SPCS1 SPCS2 SPCS3 SPTBN1 SRP14 SRP19 SRP54 SRP68 SRP72 SRP9 SRPR SRPRB SSR1 SSR2 SSR3 SSR4 TAOK2 TESC TMED2 TRAM1 UBA52
cotranslational protein targeting to membrane	ARL6IP1 D6RBG4 DDOST FAU RPL10 RPL10A RPL11 RPL12 RPL13 RPL13A RPL14 RPL15 RPL17 RPL18 RPL18A RPL19 RPL21 RPL22 RPL23 RPL23A RPL24 RPL26 RPL26L1 RPL27 RPL27A RPL28 RPL29 RPL3 RPL30 RPL31 RPL32 RPL34 RPL35 RPL35A RPL36 RPL36A RPL37 RPL37A RPL38 RPL39 RPL3L RPL4 RPL41 RPL5 RPL6 RPL7 RPL7A RPL8 RPL9 RPLP0 RPLP1 RPLP2 RPN1 RPN2 RPS10 RPS11 RPS12 RPS13 RPS14 RPS15 RPS15A RPS16 RPS17 RPS18 RPS19 RPS2 RPS20 RPS21 RPS23 RPS24 RPS25 RPS26 RPS27 RPS27A RPS28 RPS29 RPS3 RPS3A RPS4X RPS4Y1 RPS5 RPS6 RPS7 RPS8 RPS9 RPSA SEC11A SEC11C SEC61A1 SEC61B SEC61G SEC62 SEC63 SPCS1 SPCS2 SPCS3 SRP14 SRP19 SRP54 SRP68 SRP72 SRP9 SRPR SRPRB SSR1 SSR2 SSR3 SSR4 TRAM1 UBA52
SRP-dependent cotranslational protein targeting to membrane	D6RBG4 DDOST FAU RPL10 RPL10A RPL11 RPL12 RPL13 RPL13A RPL14 RPL15 RPL17 RPL18 RPL18A RPL19 RPL21 RPL22 RPL23 RPL23A RPL24 RPL26 RPL26L1 RPL27 RPL27A RPL28 RPL29 RPL3 RPL30 RPL31 RPL32 RPL34 RPL35 RPL35A RPL36 RPL36A RPL37 RPL37A RPL38 RPL39 RPL3L RPL4 RPL41 RPL5 RPL6 RPL7 RPL7A RPL8 RPL9 RPLP0 RPLP1 RPLP2 RPN1 RPN2 RPS10 RPS11 RPS12 RPS13 RPS14 RPS15 RPS15A RPS16 RPS17 RPS18 RPS19 RPS2 RPS20 RPS21 RPS23 RPS24 RPS25 RPS26 RPS27 RPS27A RPS28 RPS29 RPS3 RPS3A RPS4X RPS4Y1 RPS5 RPS6 RPS7 RPS8 RPS9 RPSA SEC11A SEC11C SEC61A1 SEC61B SEC61G SEC63 SPCS1 SPCS2 SPCS3 SRP14 SRP19 SRP54 SRP68 SRP72 SRP9 SRPR SRPRB SSR1 SSR2 SSR3 SSR4 TRAM1 UBA52
protein retention in ER lumen	ANKRD13C GPAA1 GRIK5 KDELR1 KDELR2 KDELR3 OS9 PDIA2 PDIA3
protein targeting to lysosome	AP3B1 AP3M1 GCC2 HGS NAGPA NEDD4 RAB7A SCARB2 SNX16 SORL1 ZFYVE16
protein targeting to vacuole	AP3B1 AP3M1 GCC2 HGS NAGPA NEDD4 RAB7A SCARB2 SNX16 SORL1 ZFYVE16
protein targeting to peroxisome	LONP2 PEX1 PEX10 PEX12 PEX14 PEX16 PEX19 PEX2 PEX26 PEX3 PEX5 PEX5L PEX6 PEX7 RAB8B ZFAND6
protein targeting to mitochondrion	AIP BID CHCHD4 DNAJC19 FBXO7 FIS1 GDAP1 GFER GRPEL1 GRPEL2 HSPA9 MAPK9 MFF MFN2 MGARP MTERF4 MTX1 MTX2 MTX3 PAM16 PDE2A PMPCA PMPCB SAMM50 SLC25A6 TIMM10 TIMM10B TIMM13 TIMM17A TIMM17B TIMM21 TIMM22 TIMM23 TIMM44 TIMM50 TIMM8A TIMM8B TIMM9 TOMM20 TOMM22 TOMM34 TOMM40 TOMM5 TOMM6 TOMM7 TOMM70A TRNT1 TSPO YWHAZ
fatty acid metabolic process	AACS AASDH AASDHPPT ABCC1 ABCD1 ABCD2 ABCD3 ABHD5 ACAA1 ACAA2 ACACA ACACB ACAD11 ACADL ACADM ACADS ACADSB ACADVL ACOT1 ACOT11 ACOT12 ACOT2 ACOT4 ACOT7 ACOT8 ACOX1 ACOX2 ACOX3 ACOXL ACSBG1 ACSBG2 ACSF2 ACSF3 ACSL1 ACSL3 ACSL4 ACSL5 ACSL6 ACSM1 ACSM2A ACSM2B ACSM3 ACSM4 ACSM5 ACSM6 ACSS1 ACSS2 ADH7 ADIPOQ ADIPOR1 ADIPOR2 AGMO AGPAT6 AKR1C2 AKR1C3 ALDH5A1 ALKBH7 ALOX12 ALOX12B ALOX15 ALOX15B ALOX5 ALOX5AP ALOXE3 AMACR ANGPTL3 ANKRD23 AOPEP BAAT BDH2 BRCA1 C3 C9ORF3 CBR1 CBR4 CD74 CEL CH25H COX-2 CPT1A CPT1B CPT1C CPT2 CRAT CROT CRYL1 CYP1A1 CYP1A2 CYP1B1 CYP2C19 CYP2C8 CYP2C9 CYP2J2 CYP2U1 CYP4A11 CYP4F12 CYP4F2 CYP4F3 CYP4F8 CYP4V2 DAGLA DAGLB DECR1 DECR2 DEGS1 DPEP1 DPEP2 ECH1 ECHDC2 ECHS1 ECI1 ECI2 EDN1 EDN2 EHHADH ELOVL1 ELOVL2 ELOVL3 ELOVL4 ELOVL5 ELOVL6 ELOVL7 EPHX2 ETFDH FA2H FAAH FABP3 FADS1 FADS2 FADS2P1 FADS3 FADS6 FAM213B FASN FAXDC2 FCER1A GCDH GGT1 GGT2 GGT3P GGT5 GGT6 GGT7 GGTA1P GGTLC1 GGTLC2 GGTLC3 GHR GPAM GPX1 GPX4 HACL1 HADH HADHA HADHB HAO1 HAO2 HPGD HPGDS HSD17B12 HSD17B4 HSD17B8 IRG1 LEP LIAS LIPC LIPE LIPT2 LPIN1 LPIN2 LPIN3 LPL LTA4H LTC4S LYPLA1 LYPLA2 MAPK14 MAPKAPK2 MCAT MCEE MECR MGLL MGST2 MIF MLYCD MMAA MSMO1 MUT MYO5A NCF1 NDUFAB1 NDUFS6 OLAH OXSM PAM PCCA PCCB PDPN PECR PER2 PEX13 PEX2 PEX5 PEX7 PHYH PLA2G10 PLA2G15 PLA2G1B PLA2G3 PLA2G4A PLA2G4B PLA2G4C PLA2G4F PLA2G5 PLP1 PNPLA8 POR PPARA PPARD PPARG PPARGC1A PRG3 PRKAA1 PRKAA2 PRKAB1 PRKAB2 PRKAG1 PRKAG2 PRKAG3 PRKAR2B PTGDS PTGES PTGES2 PTGES3 PTGIS PTGR1 PTGR2 PTGS1 PTGS2 PTPLA PTPLAD1 PTPLAD2 PTPLB QKI RNPEP RNPEPL1 RPP14 SC5D SCD SCD5 SCP2 SESN2 SGPL1 SLC25A17 SLC27A1 SLC27A2 SLC27A3 SLC27A4 SLC27A5 SLC27A6 SNCA SPHK1 SSTR4 STAT5A STAT5B SYK TBXAS1 TECR TH THEM4 THEM5 THNSL2 TLR2 TNFRSF1A TNXB TYRP1 UCP3 UGT1A8 V9GY18 V9GYW3
fatty acid biosynthetic process	AASDHPPT ACACA ACACB ACOT7 ACSF3 ACSL3 ACSM1 ACSM3 ACSS1 ACSS2 AGMO ALOX12 ALOX12B ALOX15 ALOX15B ALOX5 ALOX5AP ALOXE3 AOPEP BRCA1 C9ORF3 CBR4 CD74 CH25H DECR2 DEGS1 EDN1 EDN2 ELOVL1 ELOVL2 ELOVL3 ELOVL4 ELOVL5 ELOVL6 ELOVL7 FA2H FADS1 FADS2 FADS2P1 FADS3 FADS6 FAM213B FASN FAXDC2 FCER1A GGT1 GGT2 GGT3P GGT5 GGT6 GGT7 GGTA1P GGTLC1 GGTLC2 GGTLC3 HSD17B12 HSD17B8 LIAS LIPC LIPT2 LPL LTA4H LTC4S MCAT MECR MGLL MGST2 MIF MLYCD MSMO1 MYO5A NDUFAB1 OLAH OXSM PCCB PECR PLA2G1B PLA2G4F PLA2G5 PLP1 PNPLA8 PRG3 PRKAA1 PRKAA2 PRKAB1 PRKAB2 PRKAG1 PRKAG2 PRKAG3 PTGDS PTGES PTGES2 PTGES3 PTGIS PTGS1 PTGS2 PTPLA PTPLAD1 PTPLAD2 PTPLB QKI RNPEP RNPEPL1 SC5D SCD SCD5 SYK TECR THNSL2 V9GY18 V9GYW3
fatty acid beta-oxidation	ABCD1 ABCD2 ABCD3 ACAA1 ACAD11 ACADL ACADM ACADS ACADVL ACOT8 ACOX1 ACOX2 ACOX3 ACOXL ADIPOQ AMACR BDH2 CPT1A CPT1B CPT1C CPT2 CRAT CROT DECR1 ECH1 ECHS1 ECI1 EHHADH ETFDH HADH HADHA HADHB HSD17B4 LEP MCEE MMAA MUT PCCA PCCB PEX2 PEX5 PEX7 PPARD SCP2 SESN2 SLC25A17 SLC27A2
unsaturated fatty acid biosynthetic process	ALOX12 ALOX12B ALOX15 ALOX15B ALOX5 ALOX5AP ALOXE3 AOPEP C9ORF3 CD74 DECR2 DEGS1 EDN1 EDN2 ELOVL2 ELOVL5 FADS1 FADS2 FADS2P1 FADS3 FAM213B FCER1A GGT1 GGT2 GGT3P GGT5 GGT6 GGT7 GGTA1P GGTLC1 GGTLC2 GGTLC3 LTA4H LTC4S MGST2 MIF PLA2G1B PLA2G4F PLA2G5 PNPLA8 PRG3 PTGDS PTGES PTGES2 PTGES3 PTGIS PTGS1 PTGS2 RNPEP RNPEPL1 SYK
acyl-CoA metabolic process	AADAT AASS ACACA ACACB ACLY ACOT1 ACOT12 ACOT2 ACOT4 ACOT7 ACOT8 ACOT9 ACSL1 ACSL4 ACSL5 ACSL6 ACSM2A ACSM4 ACSS1 ACSS2 AGPAT6 BAAT DGAT1 DGAT2 DLST ELOVL1 ELOVL2 ELOVL3 ELOVL4 ELOVL5 ELOVL6 ELOVL7 FAR1 FAR2 FASN GCDH GLYAT GPAM HMGCL HSD17B12 HSD17B4 KYNU MCEE MLYCD MVD MVK NUDT7 OGDH OXSM PDHA1 PDHB PIPOX PMVK SLC25A1 SUCLA2 SUCLG1 SUCLG2 TDO2 TECR THEM5
neutral lipid metabolic process	ABHD5 ACACA ACLY ACSL1 ACSL4 ACSL5 ACSL6 AGPAT1 AGPAT2 AGPAT3 AGPAT4 AGPAT5 AGPAT6 AGPAT9 ANG APOA2 APOA5 APOB APOBR APOC1 APOC3 APOE APOF APOH CAT CAV1 CAV3 CEL CETP CPS1 CPT1A CYP2E1 DAGLA DBI DGAT1 DGAT2 DGKD DGKK ELOVL1 ELOVL2 ELOVL3 ELOVL4 ELOVL5 ELOVL6 ELOVL7 FABP4 FASN G6PC GK GPAM GPAT2 GPD1 GPD1L GPX1 HSD17B12 INSIG1 INSIG2 LCLAT1 LIPC LIPE LIPF LPCAT1 LPCAT4 LPIN1 LPIN2 LPL MGLL MOGAT1 MOGAT2 MOGAT3 MTTP NKX2-3 PCSK9 PGS1 PLCE1 PLIN1 PNLIPRP2 PNPLA2 PNPLA3 PPP1CA PPP1CB PPP1CC PRKACA PRKACB PRKACG PTPN11 SIRT1 SLC22A4 SLC25A1 SLC27A5 SLC37A4 SNCA TECR TNXB
acylglycerol metabolic process	ABHD5 ACACA ACLY ACSL1 ACSL4 ACSL5 ACSL6 AGPAT1 AGPAT2 AGPAT3 AGPAT4 AGPAT5 AGPAT6 AGPAT9 ANG APOA2 APOA5 APOB APOBR APOC1 APOC3 APOE APOF APOH CAT CAV1 CAV3 CEL CETP CPS1 CPT1A CYP2E1 DAGLA DBI DGAT1 DGAT2 DGKD DGKK ELOVL1 ELOVL2 ELOVL3 ELOVL4 ELOVL5 ELOVL6 ELOVL7 FABP4 FASN G6PC GK GPAM GPAT2 GPD1 GPD1L GPX1 HSD17B12 INSIG1 INSIG2 LCLAT1 LIPC LIPE LIPF LPCAT1 LPCAT4 LPIN1 LPIN2 LPL MGLL MOGAT1 MOGAT2 MOGAT3 MTTP NKX2-3 PCSK9 PGS1 PLCE1 PLIN1 PNLIPRP2 PNPLA2 PNPLA3 PPP1CA PPP1CB PPP1CC PRKACA PRKACB PRKACG PTPN11 SIRT1 SLC22A4 SLC25A1 SLC27A5 SLC37A4 TECR TNXB
triglyceride metabolic process	ABHD5 ACACA ACLY ACSL1 ACSL4 ACSL5 ACSL6 AGPAT1 AGPAT2 AGPAT3 AGPAT4 AGPAT5 AGPAT6 AGPAT9 APOA2 APOA5 APOB APOBR APOC1 APOC3 APOE APOF APOH CAT CAV1 CAV3 CEL CETP CPS1 CPT1A CYP2E1 DBI DGAT1 DGAT2 ELOVL1 ELOVL2 ELOVL3 ELOVL4 ELOVL5 ELOVL6 ELOVL7 FABP4 FASN G6PC GK GPAM GPAT2 GPD1 GPD1L GPX1 HSD17B12 INSIG1 INSIG2 LCLAT1 LIPC LIPE LIPF LPCAT1 LPCAT4 LPIN1 LPIN2 LPL MGLL MOGAT1 MOGAT2 MOGAT3 MTTP NKX2-3 PCSK9 PLIN1 PNLIPRP2 PNPLA2 PNPLA3 PPP1CA PPP1CB PPP1CC PRKACA PRKACB PRKACG PTPN11 SIRT1 SLC22A4 SLC25A1 SLC27A5 SLC37A4 TECR TNXB
membrane lipid metabolic process	A3GALT2 A4GALT ACER1 ACER2 ACER3 AGK AGMO ALDH5A1 ALOX12B ALOXE3 ARSA ARSB ARSD ARSE ARSF ARSG ARSH ARSI ARSJ ARSK ARV1 ASAH1 ASAH2 ASAH2C B3GNT5 B4GALNT1 B4GALT4 BAX CCDC97 CEL CERK CERS1 CERS2 CERS3 CERS4 CERS5 CERS6 CLN3 CLN6 CLN8 COL4A3BP CREM CSNK1G2 CTSA CWH43 CYP1B1 DEGS1 DEGS2 DPM1 DPM2 DPM3 ELOVL1 ENPP7 FA2H FAM57B GAL3ST1 GALC GBA GBA2 GBA3 GBGT1 GLA GLB1 GM2A GPLD1 HEXA HEXB HTRA2 ITGB8 KDSR KIT LARGE LASS1 MAP7 MPPE1 NAGA NEU1 NEU2 NEU3 NEU4 NSMAF ORMDL1 ORMDL2 ORMDL3 P2RX1 PGAP1 PGAP2 PGAP3 PIGA PIGB PIGC PIGF PIGG PIGH PIGL PIGN PIGO PIGQ PIGU PIGV PIGX PIGY PIGZ PLA2G15 PNLIPRP2 PPAP2A PPAP2B PPAP2C PPM1L PPP2CA PPP2R1A PPT1 PRKD1 PSAP PSAPL1 PYURF SAMD8 SERAC1 SERINC1 SERINC2 SERINC3 SERINC5 SFTPB SGMS1 SGMS2 SGPL1 SGPP1 SGPP2 SMPD1 SMPD2 SMPD3 SMPD4 SMPDL3A SMPDL3B SPHK1 SPHK2 SPNS2 SPTLC1 SPTLC2 SPTLC3 SPTSSA SPTSSB ST3GAL5 ST3GAL6 ST6GALNAC3 ST6GALNAC4 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA4 ST8SIA5 ST8SIA6 STS SUMF1 TEX2 TH UGCG UGT8 VAPA VAPB
phospholipid metabolic process	ABHD12 ABHD5 ACHE ACP6 ACSL6 AGPAT1 AGPAT2 AGPAT3 AGPAT4 AGPAT5 AGPAT6 AGPAT9 AJUBA ALDH5A1 ALOX15 ANGPTL3 APOA1 APOA2 APOA4 ARF1 ARF3 ASPG ATM BPNT1 CD81 CDIPT CDS1 CDS2 CEPT1 CETP CHAT CHKA CHKB CHKB-CPT1B CHPT1 CLN3 CLN8 CRLS1 CSF1R CWH43 DBI DGAT1 DGAT2 DGKE DHDDS DKFZP779K1237 DOLK DOLPP1 DPM1 DPM2 DPM3 DRD2 ENPP2 ENPP7 EPT1 ETNK1 ETNK2 FABP5 FADS1 FAR1 FDFT1 FDPS FGF2 FIG4 GATA6 GGPS1 GNPAT GPAM GPAT2 GPCPD1 GPD1 GPD1L GPLD1 GPX4 HADHA HADHB HEXB I6L893 IDI1 IDI2 IMPA1 IMPA2 IMPAD1 INPP1 INPP4A INPP4B INPP5A INPP5B INPP5D INPP5E INPP5F INPP5J INPP5K INPPL1 IP6K1 IP6K2 IP6K3 ISYNA1 LCAT LCLAT1 LGALS13 LIPC LIPG LPCAT1 LPCAT2 LPCAT3 LPCAT4 LPGAT1 LPIN1 LPIN2 LPIN3 LPL LYST MBOAT1 MBOAT2 MBOAT7 MECP2 MGLL MPPE1 MTM1 MTMR1 MTMR14 MTMR2 MTMR3 MTMR4 MTMR6 MTMR7 MVD MVK NAPEPLD NKX2-1 OC90 OCRL PAFAH1B1 PCSK9 PCYT1A PCYT1B PCYT2 PDGFRB PEMT PFKM PGAP1 PGAP2 PGAP3 PGS1 PHOSPHO1 PI4K2A PI4K2B PI4KA PI4KAP1 PI4KAP2 PI4KB PIGA PIGB PIGC PIGF PIGG PIGH PIGL PIGM PIGN PIGO PIGP PIGQ PIGU PIGV PIGW PIGX PIGY PIGZ PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CB PIK3CD PIK3CG PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PIK3R6 PIKFYVE PIP4K2A PIP4K2B PIP4K2C PIP5K1A PIP5K1B PIP5K1C PIP5KL1 PIPSL PISD PITPNB PITPNM3 PLA1A PLA2G10 PLA2G12A PLA2G15 PLA2G16 PLA2G1B PLA2G2A PLA2G2C PLA2G2D PLA2G2E PLA2G2F PLA2G3 PLA2G4A PLA2G4B PLA2G4C PLA2G4D PLA2G4E PLA2G4F PLA2G5 PLA2G6 PLAA PLB1 PLBD1 PLCB1 PLCB2 PLCD1 PLCD4 PLCE1 PLCG1 PLCG2 PLCH2 PLD1 PLD2 PLD3 PLD4 PLD6 PLEK PLSCR1 PMVK PNLIPRP2 PNPLA2 PNPLA3 PNPLA6 PNPLA8 PON1 PPAP2B PPARD PRDX6 PTDSS1 PTDSS2 PTEN PTPMT1 PYURF RARRES3 SACM1L SAMD8 SERAC1 SERINC1 SERINC2 SERINC3 SERINC4 SERINC5 SGMS1 SGMS2 SGPP1 SH3GLB1 SH3YL1 SLC27A1 SLC44A1 SLC44A2 SLC44A3 SLC44A4 SLC44A5 SMG1 SMPD1 SMPD2 SMPD3 SMPD4 SMPDL3A SMPDL3B SNCA SPHK2 SPTLC1 SPTLC2 SRD5A3 SYNJ1 SYNJ2 TAMM41 TAZ THEM5 TPTE2 VAC14
phosphatidylethanolamine biosynthetic process	ALOX15 CEPT1 CHKA CHKB EPT1 ETNK1 ETNK2 LPIN1 LPIN2 LPIN3 PCYT2 PHOSPHO1 PISD SLC27A1
glycerophospholipid metabolic process	ABHD12 ABHD5 ACHE ACP6 AGPAT1 AGPAT2 AGPAT3 AGPAT4 AGPAT5 AGPAT6 AGPAT9 AJUBA ALDH5A1 ALOX15 APOA1 APOA2 APOA4 ARF1 ARF3 ATM BPNT1 CD81 CDIPT CDS1 CDS2 CEPT1 CETP CHAT CHKA CHKB CHKB-CPT1B CHPT1 CRLS1 CSF1R CWH43 DBI DGAT1 DGAT2 DKFZP779K1237 DPM1 DPM2 DPM3 DRD2 ENPP2 EPT1 ETNK1 ETNK2 FABP5 FAR1 FGF2 FIG4 GNPAT GPAM GPAT2 GPCPD1 GPD1 GPD1L GPLD1 HADHA HADHB IMPA1 IMPA2 IMPAD1 INPP1 INPP4A INPP4B INPP5A INPP5B INPP5D INPP5E INPP5F INPP5J INPP5K INPPL1 IP6K1 IP6K2 IP6K3 LCAT LCLAT1 LIPC LPCAT1 LPCAT2 LPCAT3 LPCAT4 LPGAT1 LPIN1 LPIN2 LPIN3 MBOAT1 MBOAT2 MBOAT7 MECP2 MGLL MPPE1 MTM1 MTMR1 MTMR14 MTMR2 MTMR3 MTMR4 MTMR6 MTMR7 OCRL PAFAH1B1 PCYT1A PCYT1B PCYT2 PDGFRB PEMT PGAP1 PGAP2 PGAP3 PGS1 PHOSPHO1 PI4K2A PI4K2B PI4KA PI4KAP1 PI4KAP2 PI4KB PIGA PIGB PIGC PIGF PIGG PIGH PIGL PIGM PIGN PIGO PIGP PIGQ PIGU PIGV PIGW PIGX PIGY PIGZ PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CB PIK3CD PIK3CG PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PIK3R6 PIKFYVE PIP4K2A PIP4K2B PIP4K2C PIP5K1A PIP5K1B PIP5K1C PIP5KL1 PIPSL PISD PITPNB PITPNM3 PLA1A PLA2G10 PLA2G12A PLA2G15 PLA2G16 PLA2G1B PLA2G2A PLA2G2D PLA2G2E PLA2G2F PLA2G3 PLA2G4A PLA2G4B PLA2G4C PLA2G4D PLA2G4E PLA2G4F PLA2G5 PLA2G6 PLB1 PLBD1 PLCB1 PLCD4 PLCG2 PLCH2 PLD1 PLD2 PLD3 PLD4 PLD6 PLEK PLSCR1 PNPLA2 PNPLA3 PNPLA6 PNPLA8 PON1 PTDSS1 PTDSS2 PTEN PTPMT1 PYURF SACM1L SERAC1 SERINC1 SERINC2 SERINC3 SERINC5 SH3GLB1 SH3YL1 SLC27A1 SLC44A1 SLC44A2 SLC44A3 SLC44A4 SLC44A5 SMG1 SMPD4 SYNJ1 SYNJ2 TAMM41 TAZ THEM5 TPTE2 VAC14
phosphatidic acid biosynthetic process	ABHD5 AGPAT1 AGPAT2 AGPAT3 AGPAT4 AGPAT5 AGPAT6 AGPAT9 GNPAT GPAM GPAT2 GPD1 GPD1L LCLAT1 LPCAT1 LPCAT4 PLA2G10 PLA2G12A PLA2G1B PLA2G2A PLA2G2D PLA2G2E PLA2G2F PLA2G4A PLA2G4B PLA2G4D PLA2G5 PLD1 PLD2 SH3GLB1 SLC27A1
phosphatidylglycerol biosynthetic process	CDS2 CRLS1 PGS1 PLA2G6 PLD1 PLD2 PLD3 PLD4 PLD6 PTPMT1 SLC27A1 TAMM41 TAZ
phosphatidylcholine biosynthetic process	ACHE AGPAT6 APOA1 APOA2 CDS1 CEPT1 CHAT CHKA CHKB CHKB-CPT1B CHPT1 FABP5 LCAT LPIN1 LPIN2 LPIN3 PCYT1A PCYT1B PEMT PHOSPHO1 SLC27A1 SLC44A1 SLC44A2 SLC44A3 SLC44A4 SLC44A5
phosphatidylserine metabolic process	ABHD12 LPCAT3 LPCAT4 MBOAT1 PLA1A PLA2G10 PLA2G12A PLA2G16 PLA2G1B PLA2G2A PLA2G2D PLA2G2E PLA2G2F PLA2G4A PLA2G4B PLA2G4D PLA2G4E PLA2G4F PLA2G5 PLSCR1 PTDSS1 PTDSS2 SERINC1 SERINC2 SERINC3 SERINC5 SLC27A1
phosphatidylinositol biosynthetic process	ARF1 ARF3 ATM CD81 CDIPT CDS1 CWH43 DPM1 DPM2 DPM3 FGF2 FIG4 IMPA1 INPP4A INPP4B INPP5D INPP5E INPP5J INPP5K INPPL1 MPPE1 MTM1 MTMR1 MTMR14 MTMR2 MTMR3 MTMR4 MTMR6 MTMR7 OCRL PGAP2 PGAP3 PI4K2A PI4K2B PI4KA PI4KB PIGA PIGB PIGC PIGF PIGG PIGH PIGL PIGN PIGO PIGQ PIGU PIGV PIGX PIGY PIGZ PIK3C2A PIK3C2B PIK3C2G PIK3C3 PIK3CA PIK3CB PIK3CD PIK3CG PIK3R1 PIK3R2 PIK3R3 PIK3R4 PIK3R5 PIK3R6 PIKFYVE PIP4K2A PIP4K2B PIP5K1A PIP5K1B PIP5K1C PLCG2 PTEN PYURF SACM1L SH3YL1 SLC27A1 SYNJ1 SYNJ2 TPTE2 VAC14
glycerol ether metabolic process	AGMO AGPS FAR1 FAR2 GNPAT HRASLS PDIA3 PEX7 TMEM86B TXN TXN2 TXNDC2 TXNDC8 TXNL1
glycolipid metabolic process	A3GALT2 A4GALT ALDH5A1 ARSA ARSB ARSD ARSE ARSF ARSG ARSH ARSI ARSJ ARSK ASAH1 ASAH2 B3GNT5 B4GALNT1 BAX CERK CLN3 CLN6 CREM CTSA CWH43 DPM1 DPM2 DPM3 ENPP7 GAL3ST1 GALC GBA GBA2 GBA3 GBGT1 GLA GLB1 GM2A GPLD1 HEXA HEXB ITGB8 KIT LARGE MAP7 MPPE1 NAGA NEU1 NEU2 NEU3 NEU4 PGAP1 PGAP2 PGAP3 PIGA PIGB PIGC PIGF PIGG PIGH PIGL PIGN PIGO PIGQ PIGU PIGV PIGX PIGY PIGZ PNLIPRP2 PSAP PYURF SERAC1 SMPD1 SMPD2 SMPD3 SMPD4 ST3GAL5 ST3GAL6 ST6GALNAC3 ST6GALNAC4 ST6GALNAC5 ST6GALNAC6 ST8SIA1 ST8SIA2 ST8SIA3 ST8SIA4 ST8SIA5 ST8SIA6 STS SUMF1 UGCG UGT8
